Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Number of Results;Trends
china travel service china;20;110;1.64;0.30;0.00;0;0.42,0.42,0.42,0.53,0.42,0.34,0.42,0.34,0.53,0.53,0.42,0.34
china travel service sydney;41;50;0.92;0.49;0.00;120;0.64,0.35,0.50,0.28,0.64,0.28,1.00,0.35,0.14,0.14,0.14,0.14
china travel service sydney;50;50;0.92;0.49;0.00;120;0.64,0.35,0.50,0.28,0.64,0.28,1.00,0.35,0.14,0.14,0.14,0.14
travel agents china;92;50;2.27;0.66;0.00;488000000;1.00,0.00,0.77,0.44,0.55,0.00,0.11,0.77,0.77,0.44,0.77,0.44
china travel service;15;140;1.64;0.30;0.00;872000000;0.43,0.34,0.28,0.53,0.34,0.34,0.65,0.28,0.34,0.43,0.34,0.34
