page_ascore;source_url;source_title;target_url;anchor;nofollow;first_seen;last_seen
12;https://yellow.co.nz/manukau/travel-agents-brokers;Best 22 Travel Agents & Brokers in Manukau | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1755420900;1762824675
12;https://yellow.co.nz/north-shore/travel-agents-brokers;Best 30 Travel Agents & Brokers in North Shore | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1755171447;1768374657
12;https://yellow.co.nz/wellington/travel-agents-brokers;Best 30 Travel Agents & Brokers in Wellington | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1754565682;1766287874
11;https://phshiviz.blogspot.com/manage/manage-sidebar.html;ERROR 404 - phshiviz;https://ctstours.co.nz/;ctstours.co.nz;true;1774471286;1774471286
10;https://www.hotcity.co.nz/business-directory/real-groovy-0;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1776841422;1776841422
10;https://yellow.co.nz/auckland/bpp/china-travel-service-nz-ltd-579379403;China Travel Service (NZ) Ltd in Auckland | Yellow® NZ;https://ctstours.co.nz/;Visit Website;true;1758190007;1775885382
10;https://yellow.co.nz/auckland/bpp/china-travel-service-nz-ltd-579379403;China Travel Service (NZ) Ltd in Auckland | Yellow® NZ;https://ctstours.co.nz/;http://www.chinatravel.co.nz;true;1758190007;1775885382
10;https://yellow.co.nz/auckland/bpp/china-travel-service-nz-ltd-579381074;China Travel Service (NZ) Ltd in Auckland | Yellow® NZ;https://ctstours.co.nz/;http://www.chinatravel.co.nz;true;1760199010;1776350238
10;https://yellow.co.nz/auckland/bpp/china-travel-service-nz-ltd-579381074;China Travel Service (NZ) Ltd in Auckland | Yellow® NZ;https://ctstours.co.nz/;Visit Website;true;1760199010;1776350238
10;https://yellow.co.nz/auckland/travel-agents-brokers;Best 30 Travel Agents & Brokers in Auckland | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1754507656;1776594059
10;https://yellow.co.nz/avondale/airlines;Best 30 Airlines in Avondale | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1775988302;1775988302
10;https://yellow.co.nz/birkdale/travel-agents-brokers;Best 30 Travel Agents & Brokers in Birkdale | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1776086997;1776086997
10;https://yellow.co.nz/brooklyn/travel-agents-brokers;Best 30 Travel Agents & Brokers in Brooklyn | Yellow.co.nz;https://ctstours.co.nz/;Website;true;1777013647;1777013647
10;https://yellow.co.nz/christchurch/bpp/china-travel-service-nz-ltd-579378295;China Travel Service (NZ) Ltd in Christchurch | Yellow® NZ;https://ctstours.co.nz/;http://www.chinatravel.co.nz;true;1776327013;1776327013
10;https://yellow.co.nz/christchurch/bpp/china-travel-service-nz-ltd-579378295;China Travel Service (NZ) Ltd in Christchurch | Yellow® NZ;https://ctstours.co.nz/;Visit Website;true;1776327013;1776327013
